year,city,country,avg_temp,city,country
1960,Lagos,Nigeria,26.68,Lagos,Nigeria
1961,Lagos,Nigeria,26.46,Lagos,Nigeria
1962,Lagos,Nigeria,26.55,Lagos,Nigeria
1963,Lagos,Nigeria,27.01,Lagos,Nigeria
1964,Lagos,Nigeria,26.48,Lagos,Nigeria
1965,Lagos,Nigeria,26.53,Lagos,Nigeria
1966,Lagos,Nigeria,26.84,Lagos,Nigeria
1967,Lagos,Nigeria,26.43,Lagos,Nigeria
1968,Lagos,Nigeria,26.67,Lagos,Nigeria
1969,Lagos,Nigeria,26.89,Lagos,Nigeria
1970,Lagos,Nigeria,26.92,Lagos,Nigeria
1971,Lagos,Nigeria,26.56,Lagos,Nigeria
1972,Lagos,Nigeria,26.91,Lagos,Nigeria
1973,Lagos,Nigeria,27.20,Lagos,Nigeria
1974,Lagos,Nigeria,26.44,Lagos,Nigeria
1975,Lagos,Nigeria,26.27,Lagos,Nigeria
1976,Lagos,Nigeria,26.37,Lagos,Nigeria
1977,Lagos,Nigeria,27.01,Lagos,Nigeria
1978,Lagos,Nigeria,26.73,Lagos,Nigeria
1979,Lagos,Nigeria,26.99,Lagos,Nigeria
1980,Lagos,Nigeria,26.85,Lagos,Nigeria
1981,Lagos,Nigeria,26.79,Lagos,Nigeria
1982,Lagos,Nigeria,26.66,Lagos,Nigeria
1983,Lagos,Nigeria,26.99,Lagos,Nigeria
1984,Lagos,Nigeria,26.98,Lagos,Nigeria
1985,Lagos,Nigeria,26.74,Lagos,Nigeria
1986,Lagos,Nigeria,26.65,Lagos,Nigeria
1987,Lagos,Nigeria,27.51,Lagos,Nigeria
1988,Lagos,Nigeria,27.04,Lagos,Nigeria
1989,Lagos,Nigeria,26.71,Lagos,Nigeria
1990,Lagos,Nigeria,27.06,Lagos,Nigeria
1991,Lagos,Nigeria,26.88,Lagos,Nigeria
1992,Lagos,Nigeria,26.73,Lagos,Nigeria
1993,Lagos,Nigeria,26.90,Lagos,Nigeria
1994,Lagos,Nigeria,26.84,Lagos,Nigeria
1995,Lagos,Nigeria,27.07,Lagos,Nigeria
1996,Lagos,Nigeria,26.92,Lagos,Nigeria
1997,Lagos,Nigeria,26.91,Lagos,Nigeria
1998,Lagos,Nigeria,27.53,Lagos,Nigeria
1999,Lagos,Nigeria,27.03,Lagos,Nigeria
2000,Lagos,Nigeria,27.02,Lagos,Nigeria
2001,Lagos,Nigeria,26.92,Lagos,Nigeria
2002,Lagos,Nigeria,27.13,Lagos,Nigeria
2003,Lagos,Nigeria,27.37,Lagos,Nigeria
2004,Lagos,Nigeria,27.32,Lagos,Nigeria
2005,Lagos,Nigeria,27.39,Lagos,Nigeria
2006,Lagos,Nigeria,27.53,Lagos,Nigeria
2007,Lagos,Nigeria,27.46,Lagos,Nigeria
2008,Lagos,Nigeria,27.30,Lagos,Nigeria
2009,Lagos,Nigeria,27.53,Lagos,Nigeria
2010,Lagos,Nigeria,27.79,Lagos,Nigeria
2011,Lagos,Nigeria,27.35,Lagos,Nigeria
2012,Lagos,Nigeria,27.15,Lagos,Nigeria
2013,Lagos,Nigeria,27.36,Lagos,Nigeria
